entry	contents_key	printed_span	scan_span	expected_kural_count	evidence	status
151	கூத்தாட்டு அவைக் குழாத்து	327–328	344–345	1	Ch 34 நிலையாமை / Kural 332	RESOLVED
152	பிரிவுரைக்கும் வன் கண்ணர்	329–330	346–347	1	Ch 116 பிரிவாற்றாமை / Kural 1156	RESOLVED
153	நாளென ஒன்று போல்	331–332	348–349	1	Ch 34 நிலையாமை / Kural 334	RESOLVED
154	பிணிக்கு மருந்து	333–334	350–351	1	Ch 111 புணர்ச்சி மகிழ்தல் / Kural 1102	RESOLVED
155	உள்ளற்க உள்ளம்	335–336	352–353	1	Ch 80 நட்பாராய்தல் / Kural 798	RESOLVED
156	அழுக்காறு உடையார்க்கு	337–338	354–355	1	Ch 17 அழுக்காறாமை / Kural 165	RESOLVED
157	பாலொடு தேன்கலந்து	339–340	356–357	1	Ch 113 காதற் சிறப்புரைத்தல் / Kural 1121	RESOLVED
158	அ. கொலையிற் கொடியாரை / ஆ. கொலைமேற் கொண்டாரின்	341–342	358–359	2	Ch 55 செங்கோன்மை / Kural 550 || Ch 56 கொடுங்கோன்மை / Kural 551	RESOLVED
159	நெஞ்சில் துறவார்	343–344	360–361	1	Ch 28 கூடா ஒழுக்கம் / Kural 276	RESOLVED
160	நிறைநெஞ்சம் இல்லவர்	345–346	362–363	1	Ch 92 வரைவின் மகளிர் / Kural 917	RESOLVED
161	வலியார்முன் தன்னை	347–348	364–365	1	Ch 26 அருளுடைமை / Kural 250	RESOLVED
162	எல்லைக்கண் நின்றார்	349–350	366–367	1	Ch 81 பழைமை / Kural 806	RESOLVED
163	உவந்துறைவர் உள்ளத்துள்	351–352	368–369	1	Ch 113 காதற் சிறப்புரைத்தல் / Kural 1130	RESOLVED
164	அ. தொகச்சொல்லித் தூவாத / ஆ. இறுதி பயப்பினும்	353–354	370–371	2	Ch 69 தூது / Kurals 685, 690	RESOLVED
165	பொறாமை அஞ்சும்	355–356	372–373	1	Ch 130 நெஞ்சொடு புலத்தல் / Kural 1295	RESOLVED
